,gene_names,cancer_type,corr,p_value,crc_str,as_id,adjusted_p_value
0,GTPBP4,coad,0.09361293532322872,0.0250337572470583,chr10_1000869,10607.0,0.08782112677481534
1,GTPBP4,read,-0.11645241607001006,0.005254801375294302,chr10_1000869,10607.0,0.028601064769012956
2,GTPBP4,coad,0.09156558120728633,0.028403839396501512,chr10_1009084,10607.0,0.09618514307431444
3,GTPBP4,read,-0.10986576481747738,0.008485089780814964,chr10_1009084,10607.0,0.04042027609964097
4,GTPBP4,coad,0.009842158056220154,0.8141411461727499,chr10_1014160,10607.0,0.8838637687858204
5,GTPBP4,read,0.004355686634986864,0.9171402190201853,chr10_1014160,10607.0,0.9507653709519798
6,GTPBP4,coad,0.07097081382110747,0.08964203771615216,chr10_996145,10607.0,0.21330515386990878
7,GTPBP4,read,-0.07802761457111031,0.06196480427215866,chr10_996145,10607.0,0.165376118964869
8,GTPBP4,coad,0.058064618947054294,0.16512084480933867,chr10_999123,10607.0,0.3235653233303575
9,GTPBP4,read,-0.051828417757516045,0.2154336479215649,chr10_999123,10607.0,0.38736967875262446
10,ERLIN1,coad,0.10572333345603674,0.011331126029715425,chr10_100152407,12788.0,0.0500339352893247
11,ERLIN1,read,0.03151235142176271,0.4515315753421453,chr10_100152407,12788.0,0.6205587566188149
12,CWF19L1,coad,0.036546282059397736,0.3825513369843767,chr10_100236769,12791.0,0.5578886826856387
13,CWF19L1,read,-0.03948423501234739,0.3454483920515351,chr10_100236769,12791.0,0.5234236561085382
14,CWF19L1,coad,0.1206058430178398,0.0038371448636138586,chr10_100267520,12791.0,0.022623569035718383
15,CWF19L1,read,-0.11883383371148909,0.004393098143521372,chr10_100267520,12791.0,0.025112784770734926
16,BLOC1S2,coad,-0.018676173677172173,0.6555090828778298,chr10_100275426,12792.0,0.7773080516452845
17,BLOC1S2,read,-0.07882048207148323,0.05935250280214826,chr10_100275426,12792.0,0.1606371319855803
18,HIF1AN,coad,0.14371823034999165,0.000559216700697506,chr10_100540590,12838.0,0.005509853261591862
19,HIF1AN,read,-0.11432773944446138,0.006149096682366493,chr10_100540590,12838.0,0.032043137084197815
20,LZTS2,coad,0.06770187578047289,0.10546295382138529,chr10_101003658,12860.0,0.23803515713189963
