,tmp_id,gene_names,as-id,cancer-type
0,chr10_1000869,GTPBP4,10607,coad
3,chr10_1000869,GTPBP4,10607,read
6,chr10_1009084,GTPBP4,10607,coad
9,chr10_1009084,GTPBP4,10607,read
12,chr10_1014160,GTPBP4,10607,coad
15,chr10_1014160,GTPBP4,10607,read
18,chr10_996145,GTPBP4,10607,coad
21,chr10_996145,GTPBP4,10607,read
24,chr10_999123,GTPBP4,10607,coad
27,chr10_999123,GTPBP4,10607,read
30,chr10_100152407,ERLIN1,12788,coad
31,chr10_100152407,ERLIN1,12788,read
32,chr10_100236769,CWF19L1,12791,coad
33,chr10_100236769,CWF19L1,12791,read
34,chr10_100267520,CWF19L1,12791,coad
35,chr10_100267520,CWF19L1,12791,read
36,chr10_100275426,BLOC1S2,12792,coad
38,chr10_100275426,BLOC1S2,12792,read
40,chr10_100540590,HIF1AN,12838,coad
41,chr10_100540590,HIF1AN,12838,read
42,chr10_101003658,LZTS2,12860,coad
44,chr10_101003658,LZTS2,12860,read
46,chr10_101021644,PDZD7,12862,coad
49,chr10_101037496,SFXN3,12871,coad
50,chr10_101037496,SFXN3,12871,read
51,chr10_101605034,DPCD,12877,coad
53,chr10_101605034,DPCD,12877,read
55,chr10_101609304,DPCD,12877,coad
57,chr10_101609304,DPCD,12877,read
59,chr10_102110036,LDB1,12934,coad
61,chr10_102110036,LDB1,12934,read
63,chr10_102137891,PPRC1,12938,coad
64,chr10_102137891,PPRC1,12938,read
65,chr10_102138895,PPRC1,12938,coad
66,chr10_102138895,PPRC1,12938,read
67,chr10_102157286,NOLC1,12939,coad
73,chr10_102157286,NOLC1,12939,read
79,chr10_102157513,NOLC1,12939,coad
85,chr10_102157513,NOLC1,12939,read
91,chr10_102159243,NOLC1,12939,coad
97,chr10_102159243,NOLC1,12939,read
103,chr10_102159354,NOLC1,12939,coad
109,chr10_102159354,NOLC1,12939,read
115,chr10_102161928,NOLC1,12939,coad
121,chr10_102161928,NOLC1,12939,read
127,chr10_102396392,NFKB2,12948,coad
128,chr10_102396392,NFKB2,12948,read
129,chr10_102490626,ACTR1A,12957,coad
132,chr10_102490626,ACTR1A,12957,read
135,chr10_102618932,SUFU,12961,coad
138,chr10_102618932,SUFU,12961,read
141,chr10_102627292,SUFU,12961,coad
144,chr10_102627292,SUFU,12961,read
147,chr10_102729302,SFXN2,12967,coad
152,chr10_102729302,SFXN2,12967,read
157,chr10_102743998,WBP1L,12980,coad
159,chr10_102743998,WBP1L,12980,read
161,chr10_102776297,WBP1L,12980,coad
163,chr10_102776297,WBP1L,12980,read
165,chr10_102809912,WBP1L,12980,coad
167,chr10_102809912,WBP1L,12980,read
169,chr10_102812684,WBP1L,12980,coad
171,chr10_102812684,WBP1L,12980,read
173,chr10_102813062,WBP1L,12980,coad
175,chr10_102813062,WBP1L,12980,read
177,chr10_102920138,CNNM2,12983,coad
179,chr10_102920138,CNNM2,12983,read
181,chr10_103054297,CNNM2,12983,coad
183,chr10_103054297,CNNM2,12983,read
185,chr10_103056748,CNNM2,12983,coad
187,chr10_103056748,CNNM2,12983,read
189,chr10_103071611,CNNM2,12983,coad
191,chr10_103071611,CNNM2,12983,read
193,chr10_103071901,CNNM2,12983,coad
195,chr10_103071901,CNNM2,12983,read
197,chr10_103095985,NT5C2,12992,coad
198,chr10_103095985,NT5C2,12992,read
199,chr10_103333907,PCGF6,12995,coad
200,chr10_103333907,PCGF6,12995,read
201,chr10_103379795,TAF5,12996,coad
202,chr10_103379795,TAF5,12996,read
203,chr10_103603092,SH3PXD2A,13024,coad
206,chr10_103603092,SH3PXD2A,13024,read
209,chr10_103617328,SH3PXD2A,13024,coad
212,chr10_103617328,SH3PXD2A,13024,read
215,chr10_103668579,SH3PXD2A,13024,coad
218,chr10_103668579,SH3PXD2A,13024,read
221,chr10_103668697,SH3PXD2A,13024,coad
224,chr10_103668697,SH3PXD2A,13024,read
227,chr10_103767179,SH3PXD2A,13024,coad
230,chr10_103767179,SH3PXD2A,13024,read
233,chr10_103967789,SLK,13030,coad
234,chr10_103967789,SLK,13030,read
235,chr10_103992958,SLK,13030,coad
236,chr10_103992958,SLK,13030,read
237,chr10_104001376,SLK,13030,coad
238,chr10_104001376,SLK,13030,read
239,chr10_104008391,SLK,13030,coad
240,chr10_104008391,SLK,13030,read
241,chr10_104018250,SLK,13030,coad
242,chr10_104018250,SLK,13030,read
243,chr10_104039197,COL17A1,13031,coad
247,chr10_104039197,COL17A1,13031,read
251,chr10_104039329,COL17A1,13031,coad
255,chr10_104039329,COL17A1,13031,read
259,chr10_104039534,COL17A1,13031,coad
263,chr10_104039534,COL17A1,13031,read
267,chr10_104047814,COL17A1,13031,coad
271,chr10_104047814,COL17A1,13031,read
275,chr10_104054138,COL17A1,13031,coad
279,chr10_104054138,COL17A1,13031,read
283,chr10_104056017,COL17A1,13031,coad
287,chr10_104056017,COL17A1,13031,read
291,chr10_104057140,COL17A1,13031,coad
295,chr10_104057140,COL17A1,13031,read
299,chr10_104062260,COL17A1,13031,coad
303,chr10_104062260,COL17A1,13031,read
307,chr10_104077369,COL17A1,13031,coad
311,chr10_104077369,COL17A1,13031,read
315,chr10_1072319,WDR37,10614,coad
317,chr10_1072319,WDR37,10614,read
319,chr10_1077866,WDR37,10614,coad
321,chr10_1077866,WDR37,10614,read
323,chr10_1105070,WDR37,10614,coad
325,chr10_1105070,WDR37,10614,read
327,chr10_1124150,WDR37,10614,coad
329,chr10_1124150,WDR37,10614,read
331,chr10_109891841,XPNPEP1,13072,coad
334,chr10_109891841,XPNPEP1,13072,read
337,chr10_11005611,CELF2,10738,coad
342,chr10_11005611,CELF2,10738,read
347,chr10_11288508,CELF2,10738,coad
352,chr10_11288508,CELF2,10738,read
357,chr10_11325720,CELF2,10738,coad
362,chr10_11325720,CELF2,10738,read
367,chr10_11325818,CELF2,10738,coad
372,chr10_11325818,CELF2,10738,read
377,chr10_110116231,ADD3,13075,coad
380,chr10_110116231,ADD3,13075,read
383,chr10_110117230,ADD3,13075,coad
386,chr10_110117230,ADD3,13075,read
389,chr10_110117329,ADD3,13075,coad
392,chr10_110117329,ADD3,13075,read
395,chr10_110244805,MXI1,13078,coad
400,chr10_110244805,MXI1,13078,read
405,chr10_110295459,SMNDC1,13083,coad
407,chr10_110295459,SMNDC1,13083,read
409,chr10_110297602,SMNDC1,13083,coad
411,chr10_110297602,SMNDC1,13083,read
413,chr10_110298629,SMNDC1,13083,coad
415,chr10_110298629,SMNDC1,13083,read
417,chr10_110881252,PDCD4,13086,coad
418,chr10_110881252,PDCD4,13086,read
419,chr10_110889512,PDCD4,13086,coad
420,chr10_110889512,PDCD4,13086,read
421,chr10_110898008,PDCD4,13086,coad
422,chr10_110898008,PDCD4,13086,read
423,chr10_110965076,SHOC2,13100,coad
424,chr10_110965076,SHOC2,13100,read
425,chr10_111000400,SHOC2,13100,coad
426,chr10_111000400,SHOC2,13100,read
427,chr10_111007472,SHOC2,13100,coad
428,chr10_111007472,SHOC2,13100,read
429,chr10_112154693,GPAM,13101,coad
431,chr10_112154693,GPAM,13101,read
433,chr10_112161702,GPAM,13101,coad
435,chr10_112161702,GPAM,13101,read
437,chr10_112394905,ACSL5,13108,coad
442,chr10_112394905,ACSL5,13108,read
447,chr10_112404669,ACSL5,13108,coad
452,chr10_112404669,ACSL5,13108,read
457,chr10_112408585,ACSL5,13108,coad
462,chr10_112408585,ACSL5,13108,read
467,chr10_112409467,ACSL5,13108,coad
472,chr10_112409467,ACSL5,13108,read
477,chr10_112410433,ACSL5,13108,coad
482,chr10_112410433,ACSL5,13108,read
487,chr10_112411612,ACSL5,13108,coad
492,chr10_112411612,ACSL5,13108,read
497,chr10_112668112,VTI1A,13115,coad
499,chr10_112668112,VTI1A,13115,read
501,chr10_112668912,VTI1A,13115,coad
503,chr10_112668912,VTI1A,13115,read
505,chr10_112815257,VTI1A,13115,coad
507,chr10_112815257,VTI1A,13115,read
509,chr10_112815489,VTI1A,13115,coad
511,chr10_112815489,VTI1A,13115,read
513,chr10_112950749,TCF7L2,13117,coad
528,chr10_112950749,TCF7L2,13117,read
543,chr10_113158024,TCF7L2,13117,coad
558,chr10_113158024,TCF7L2,13117,read
573,chr10_113158610,TCF7L2,13117,coad
588,chr10_113158610,TCF7L2,13117,read
603,chr10_113160082,TCF7L2,13117,coad
618,chr10_113160082,TCF7L2,13117,read
633,chr10_113165558,TCF7L2,13117,coad
648,chr10_113165558,TCF7L2,13117,read
663,chr10_113726162,CASP7,13166,coad
668,chr10_113726162,CASP7,13166,read
673,chr10_113765460,PLEKHS1,13172,coad
680,chr10_113765460,PLEKHS1,13172,read
686,chr10_113774758,PLEKHS1,13172,coad
693,chr10_113774758,PLEKHS1,13172,read
699,chr10_114248676,VWA2,13197,coad
701,chr10_114248676,VWA2,13197,read
703,chr10_114278700,VWA2,13197,coad
705,chr10_114278700,VWA2,13197,read
707,chr10_114297151,AFAP1L2,13199,coad
708,chr10_114297151,AFAP1L2,13199,read
709,chr10_114300638,AFAP1L2,13199,coad
710,chr10_114300638,AFAP1L2,13199,read
711,chr10_114302340,AFAP1L2,13199,coad
712,chr10_114302340,AFAP1L2,13199,read
713,chr10_114436385,ABLIM1,13201,coad
721,chr10_114436385,ABLIM1,13201,read
729,chr10_114437741,ABLIM1,13201,coad
737,chr10_114437741,ABLIM1,13201,read
745,chr10_114468274,ABLIM1,13201,coad
753,chr10_114468274,ABLIM1,13201,read
761,chr10_11462408,USP6NL,10750,coad
763,chr10_11462408,USP6NL,10747,read
768,chr10_11485084,USP6NL,10750,coad
770,chr10_11485084,USP6NL,10747,read
775,chr10_118311332,FAM204A,13246,coad
777,chr10_118311332,FAM204A,13246,read
779,chr10_118335648,FAM204A,13246,coad
781,chr10_118335648,FAM204A,13246,read
783,chr10_118336139,FAM204A,13246,coad
785,chr10_118336139,FAM204A,13246,read
787,chr10_119033873,EIF3A,13251,coad
789,chr10_119033873,EIF3A,13251,read
791,chr10_119037061,EIF3A,13251,coad
793,chr10_119037061,EIF3A,13251,read
795,chr10_119038271,EIF3A,13251,coad
797,chr10_119038271,EIF3A,13251,read
799,chr10_119038425,EIF3A,13251,coad
801,chr10_119038425,EIF3A,13251,read
803,chr10_119049748,EIF3A,13251,coad
805,chr10_119049748,EIF3A,13251,read
807,chr10_119049969,EIF3A,13251,coad
809,chr10_119049969,EIF3A,13251,read
811,chr10_119058072,EIF3A,13251,coad
813,chr10_119058072,EIF3A,13251,read
815,chr10_119515686,RGS10,13261,coad
818,chr10_119515686,RGS10,13261,read
821,chr10_119575645,TIAL1,13266,coad
825,chr10_119575645,TIAL1,13266,read
829,chr10_119578703,TIAL1,13266,coad
833,chr10_119578703,TIAL1,13266,read
837,chr10_119582087,TIAL1,13266,coad
841,chr10_119582087,TIAL1,13266,read
845,chr10_119781537,INPP5F,13270,coad
850,chr10_119781537,INPP5F,13270,read
855,chr10_119805556,INPP5F,13270,coad
860,chr10_119805556,INPP5F,13270,read
