,crc_str,as_id,gene_names,cancer_type,pearson_coefficient,p_value,adjusted_p_value,str_ase_pairs
10770,chr19_1808230,46543,ATP8B3,coad,0.4726200715689406,2.1712371058204516e-33,6.566906626553956e-29,chr19_1808230; id:46543;coad
11195,chr19_43848665,50245,ZNF283,coad,0.4666771030962167,1.7171651578113293e-32,2.5967830099001827e-28,chr19_43848665; id:50245;coad
12743,chr1_19149719,872,UBR4,coad,0.4577606020172463,3.545161838835369e-31,3.5741139938525244e-27,chr1_19149719; id:872;coad
28221,chr9_110579107,87186,SVEP1,coad,0.4490074153330633,6.356249897503629e-30,4.1844892852521815e-26,chr9_110579107; id:87186;coad
10007,chr17_80425579,44050,ENDOV,coad,0.44874687881558545,6.917654629281173e-30,4.1844892852521815e-26,chr17_80425579; id:44050;coad
7907,chr16_30927664,36199,FBXL19,coad,0.42576311628190866,9.131109569263653e-27,4.60284014870632e-23,chr16_30927664; id:36199;coad
12745,chr1_19149810,872,UBR4,coad,0.423597583487533,1.74743156257152e-26,7.550152515710803e-23,chr1_19149810; id:872;coad
30041,chrX_21839751,88676,MBTPS2,coad,0.4108920495969332,7.170996552261649e-25,2.7110848840394198e-21,chrX_21839751; id:88676;coad
21313,chr4_177309839,71226,NEIL3,coad,0.40752207498965176,1.8706698949720473e-24,6.2864901081588416e-21,chr4_177309839; id:71226;coad
23638,chr5_73051327,72481,FCHO2,coad,0.4066284198406448,2.4078534023431788e-24,7.282552615386945e-21,chr5_73051327; id:72481;coad
23453,chr5_64369737,72195,RNF180,coad,0.40361314662325076,5.6118105628244105e-24,1.542992822478403e-20,chr5_64369737; id:72195;coad
11591,chr19_7553951,47108,PNPLA6,coad,0.39888384364164514,2.079441431460567e-23,5.241058841210405e-20,chr19_7553951; id:47108;coad
23532,chr5_67166232,72280,MAST4,coad,0.39423938817259707,7.374702997370434e-23,1.7157530165805293e-19,chr5_67166232; id:72280;coad
7505,chr16_10818400,33992,TVP23A,coad,0.39052497383563417,2.0008458817838272e-22,4.322541692467989e-19,chr16_10818400; id:33992;coad
28655,chr9_131619225,87968,RAPGEF1,coad,0.3848096132474248,9.067807171089901e-22,1.8283721859307606e-18,chr9_131619225; id:87968;coad
2433,chr11_6943509,14188,ZNF215,coad,0.37690419498425765,6.985982935653761e-21,1.3205690868053002e-17,chr11_6943509; id:14188;coad
13812,chr1_33804626,1687,CSMD2,coad,0.3759075144430609,9.001376669386039e-21,1.601450808032828e-17,chr1_33804626; id:1687;coad
13801,chr1_33494145,1678,ZSCAN20,coad,0.37478641331486096,1.1958528789565567e-20,2.009365018002281e-17,chr1_33494145; id:1678;coad
15636,chr21_41480639,60670,TMPRSS2,coad,0.3740804018997439,1.4292974576639895e-20,2.2752158740551245e-17,chr21_41480639; id:60670;coad
6049,chr14_64732785,27901,PLEKHG3,coad,0.3705282793409129,3.482496082976541e-20,5.2664047014812746e-17,chr14_64732785; id:27901;coad
21315,chr4_177309996,71226,NEIL3,coad,0.3698574263571022,4.1152752137365244e-20,5.926976135212437e-17,chr4_177309996; id:71226;coad
23512,chr5_66899933,72280,MAST4,coad,0.3675631484947619,7.26258010986941e-20,9.984397064681833e-17,chr5_66899933; id:72280;coad
13587,chr1_247157438,10514,ZNF124,coad,0.36711019998562244,8.120080829020388e-20,1.067790629016181e-16,chr1_247157438; id:10514;coad
30474,chrX_70387133,89372,KIF4A,coad,0.36581340184493627,1.1166163273512713e-19,1.4071692008641334e-16,chrX_70387133; id:89372;coad
18539,chr2_72945105,53946,SFXN5,coad,0.36462123091256604,1.4946220066843882e-19,1.8081937036867729e-16,chr2_72945105; id:53946;coad
1338,chr11_108665138,18623,DDX10,coad,0.36301118021261025,2.2115860923434494e-19,2.5726700524202936e-16,chr11_108665138; id:18623;coad
16060,chr22_38127512,62208,PLA2G6,coad,0.3624647184092946,2.524890754997442e-19,2.8283452179591716e-16,chr22_38127512; id:62208;coad
6353,chr14_91419512,28873,CCDC88C,coad,0.3614568215407744,3.2216401870329417e-19,3.4799466948861185e-16,chr14_91419512; id:28873;coad
9489,chr17_51180701,42518,MBTD1,coad,0.359069462675549,5.718272635113555e-19,5.963763994793429e-16,chr17_51180701; id:42518;coad
10466,chr18_75289277,45826,TSHZ1,coad,0.3580945665644666,7.218037997822782e-19,7.276985308138335e-16,chr18_75289277; id:45826;coad
23514,chr5_66930649,72280,MAST4,coad,0.35623120311799406,1.1240622378634894e-18,1.0966858833606851e-15,chr5_66930649; id:72280;coad
10592,chr19_11738907,47753,ZNF823,coad,0.3549096562482456,1.5362288662684212e-18,1.4519763143840125e-15,chr19_11738907; id:47753;coad
9221,chr17_42839097,41143,PSME3,coad,0.3544372905139105,1.7170896883211191e-18,1.573738715856735e-15,chr17_42839097; id:41143;coad
5891,chr14_53152762,27563,DDHD1,coad,0.3539900109211638,1.907603678200986e-18,1.6969256837408478e-15,chr14_53152762; id:27563;coad
9219,chr17_42838928,41143,PSME3,coad,0.3534161200327206,2.182788977142138e-18,1.8862415032475417e-15,chr17_42838928; id:41143;coad
28943,chr9_399128,85698,DOCK8,coad,0.35302857907007956,2.3903656508652103e-18,2.0082391419560637e-15,chr9_399128; id:85698;coad
20196,chr3_4467173,62984,SUMF1,coad,0.351359731993752,3.529679507856523e-18,2.8852745058140686e-15,chr3_4467173; id:62984;coad
6351,chr14_91339242,28873,CCDC88C,coad,0.3477307583063285,8.172484224288577e-18,6.5046522464107374e-15,chr14_91339242; id:28873;coad
22576,chr5_140654832,73709,IK,coad,0.34657393841939127,1.0655926454797121e-17,8.263807580136896e-15,chr5_140654832; id:73709;coad
29816,chrX_135974587,90181,MMGT1,coad,0.3457509833455818,1.2861128532341927e-17,9.724620811517039e-15,chrX_135974587; id:90181;coad
23153,chr5_181054217,75035,BTNL9,coad,0.3438731073368393,1.9714072681176683e-17,1.4542734835175336e-14,chr5_181054217; id:75035;coad
23630,chr5_73006424,72481,FCHO2,coad,0.34233538671164304,2.79087263505153e-17,2.00976054397937e-14,chr5_73006424; id:72481;coad
23640,chr5_73056236,72481,FCHO2,coad,0.341889732905986,3.085566650607366e-17,2.1703014732004603e-14,chr5_73056236; id:72481;coad
28205,chr9_110411750,87186,SVEP1,coad,0.34171632713718125,3.208329126596412e-17,2.2053616916797383e-14,chr9_110411750; id:87186;coad
