,crc_str,as_id,gene_names,cancer_type,pearson_coefficient,p_value,adjusted_p_value,gene_function
10770,chr19_1808230,46543,ATP8B3,coad,0.4726200715689406,2.1712371058204516e-33,6.566906626553956e-29,ATPase phospholipid transporting 8B3 [Source:HGNC Symbol;Acc:HGNC:13535]
11195,chr19_43848665,50245,ZNF283,coad,0.4666771030962167,1.7171651578113293e-32,2.5967830099001827e-28,zinc finger protein 283 [Source:HGNC Symbol;Acc:HGNC:13077]
12743,chr1_19149719,872,UBR4,coad,0.4577606020172463,3.545161838835369e-31,3.5741139938525244e-27,ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]
28221,chr9_110579107,87186,SVEP1,coad,0.4490074153330633,6.356249897503629e-30,4.1844892852521815e-26,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]"
10007,chr17_80425579,44050,ENDOV,coad,0.44874687881558545,6.917654629281173e-30,4.1844892852521815e-26,endonuclease V [Source:HGNC Symbol;Acc:HGNC:26640]
7907,chr16_30927664,36199,FBXL19,coad,0.42576311628190866,9.131109569263653e-27,4.60284014870632e-23,F-box and leucine rich repeat protein 19 [Source:HGNC Symbol;Acc:HGNC:25300]
12745,chr1_19149810,872,UBR4,coad,0.423597583487533,1.74743156257152e-26,7.550152515710803e-23,ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]
30041,chrX_21839751,88676,MBTPS2,coad,0.4108920495969332,7.170996552261649e-25,2.7110848840394198e-21,"membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]"
21313,chr4_177309839,71226,NEIL3,coad,0.40752207498965176,1.8706698949720473e-24,6.2864901081588416e-21,nei like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]
23638,chr5_73051327,72481,FCHO2,coad,0.4066284198406448,2.4078534023431788e-24,7.282552615386945e-21,FCH and mu domain containing endocytic adaptor 2 [Source:HGNC Symbol;Acc:HGNC:25180]
23453,chr5_64369737,72195,RNF180,coad,0.40361314662325076,5.6118105628244105e-24,1.542992822478403e-20,ring finger protein 180 [Source:HGNC Symbol;Acc:HGNC:27752]
11591,chr19_7553951,47108,PNPLA6,coad,0.39888384364164514,2.079441431460567e-23,5.241058841210405e-20,patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]
23532,chr5_67166232,72280,MAST4,coad,0.39423938817259707,7.374702997370434e-23,1.7157530165805293e-19,microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]
7505,chr16_10818400,33992,TVP23A,coad,0.39052497383563417,2.0008458817838272e-22,4.322541692467989e-19,trans-golgi network vesicle protein 23 homolog A [Source:HGNC Symbol;Acc:HGNC:20398]
28655,chr9_131619225,87968,RAPGEF1,coad,0.3848096132474248,9.067807171089901e-22,1.8283721859307606e-18,Rap guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4568]
2433,chr11_6943509,14188,ZNF215,coad,0.37690419498425765,6.985982935653761e-21,1.3205690868053002e-17,zinc finger protein 215 [Source:HGNC Symbol;Acc:HGNC:13007]
13812,chr1_33804626,1687,CSMD2,coad,0.3759075144430609,9.001376669386039e-21,1.601450808032828e-17,CUB and Sushi multiple domains 2 [Source:HGNC Symbol;Acc:HGNC:19290]
13801,chr1_33494145,1678,ZSCAN20,coad,0.37478641331486096,1.1958528789565567e-20,2.009365018002281e-17,zinc finger and SCAN domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13093]
15636,chr21_41480639,60670,TMPRSS2,coad,0.3740804018997439,1.4292974576639895e-20,2.2752158740551245e-17,transmembrane serine protease 2 [Source:HGNC Symbol;Acc:HGNC:11876]
6049,chr14_64732785,27901,PLEKHG3,coad,0.3705282793409129,3.482496082976541e-20,5.2664047014812746e-17,pleckstrin homology and RhoGEF domain containing G3 [Source:HGNC Symbol;Acc:HGNC:20364]
21315,chr4_177309996,71226,NEIL3,coad,0.3698574263571022,4.1152752137365244e-20,5.926976135212437e-17,nei like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]
23512,chr5_66899933,72280,MAST4,coad,0.3675631484947619,7.26258010986941e-20,9.984397064681833e-17,microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]
13587,chr1_247157438,10514,ZNF124,coad,0.36711019998562244,8.120080829020388e-20,1.067790629016181e-16,zinc finger protein 124 [Source:HGNC Symbol;Acc:HGNC:12907]
30474,chrX_70387133,89372,KIF4A,coad,0.36581340184493627,1.1166163273512713e-19,1.4071692008641334e-16,kinesin family member 4A [Source:HGNC Symbol;Acc:HGNC:13339]
18539,chr2_72945105,53946,SFXN5,coad,0.36462123091256604,1.4946220066843882e-19,1.8081937036867729e-16,sideroflexin 5 [Source:HGNC Symbol;Acc:HGNC:16073]
1338,chr11_108665138,18623,DDX10,coad,0.36301118021261025,2.2115860923434494e-19,2.5726700524202936e-16,DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]
16060,chr22_38127512,62208,PLA2G6,coad,0.3624647184092946,2.524890754997442e-19,2.8283452179591716e-16,phospholipase A2 group VI [Source:HGNC Symbol;Acc:HGNC:9039]
6353,chr14_91419512,28873,CCDC88C,coad,0.3614568215407744,3.2216401870329417e-19,3.4799466948861185e-16,coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]
9489,chr17_51180701,42518,MBTD1,coad,0.359069462675549,5.718272635113555e-19,5.963763994793429e-16,mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]
10466,chr18_75289277,45826,TSHZ1,coad,0.3580945665644666,7.218037997822782e-19,7.276985308138335e-16,teashirt zinc finger homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10669]
23514,chr5_66930649,72280,MAST4,coad,0.35623120311799406,1.1240622378634894e-18,1.0966858833606851e-15,microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]
10592,chr19_11738907,47753,ZNF823,coad,0.3549096562482456,1.5362288662684212e-18,1.4519763143840125e-15,zinc finger protein 823 [Source:HGNC Symbol;Acc:HGNC:30936]
9221,chr17_42839097,41143,PSME3,coad,0.3544372905139105,1.7170896883211191e-18,1.573738715856735e-15,proteasome activator subunit 3 [Source:HGNC Symbol;Acc:HGNC:9570]
5891,chr14_53152762,27563,DDHD1,coad,0.3539900109211638,1.907603678200986e-18,1.6969256837408478e-15,DDHD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19714]
9219,chr17_42838928,41143,PSME3,coad,0.3534161200327206,2.182788977142138e-18,1.8862415032475417e-15,proteasome activator subunit 3 [Source:HGNC Symbol;Acc:HGNC:9570]
28943,chr9_399128,85698,DOCK8,coad,0.35302857907007956,2.3903656508652103e-18,2.0082391419560637e-15,dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]
20196,chr3_4467173,62984,SUMF1,coad,0.351359731993752,3.529679507856523e-18,2.8852745058140686e-15,sulfatase modifying factor 1 [Source:HGNC Symbol;Acc:HGNC:20376]
6351,chr14_91339242,28873,CCDC88C,coad,0.3477307583063285,8.172484224288577e-18,6.5046522464107374e-15,coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]
22576,chr5_140654832,73709,IK,coad,0.34657393841939127,1.0655926454797121e-17,8.263807580136896e-15,IK cytokine [Source:HGNC Symbol;Acc:HGNC:5958]
29816,chrX_135974587,90181,MMGT1,coad,0.3457509833455818,1.2861128532341927e-17,9.724620811517039e-15,membrane magnesium transporter 1 [Source:HGNC Symbol;Acc:HGNC:28100]
23153,chr5_181054217,75035,BTNL9,coad,0.3438731073368393,1.9714072681176683e-17,1.4542734835175336e-14,butyrophilin like 9 [Source:HGNC Symbol;Acc:HGNC:24176]
23630,chr5_73006424,72481,FCHO2,coad,0.34233538671164304,2.79087263505153e-17,2.00976054397937e-14,FCH and mu domain containing endocytic adaptor 2 [Source:HGNC Symbol;Acc:HGNC:25180]
23640,chr5_73056236,72481,FCHO2,coad,0.341889732905986,3.085566650607366e-17,2.1703014732004603e-14,FCH and mu domain containing endocytic adaptor 2 [Source:HGNC Symbol;Acc:HGNC:25180]
28205,chr9_110411750,87186,SVEP1,coad,0.34171632713718125,3.208329126596412e-17,2.2053616916797383e-14,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15985]"
899,chr10_71812721,12058,CDH23,coad,0.34153742361581174,3.3400191637496273e-17,2.2448639912801663e-14,cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]
7905,chr16_30927318,36199,FBXL19,coad,0.3414327758115205,3.419500269188761e-17,2.2483214269916106e-14,F-box and leucine rich repeat protein 19 [Source:HGNC Symbol;Acc:HGNC:25300]
23698,chr5_75713015,72538,POC5,coad,0.3410391753936283,3.735456062805431e-17,2.4038057153095798e-14,POC5 centriolar protein [Source:HGNC Symbol;Acc:HGNC:26658]
11063,chr19_38738576,49690,CAPN12,coad,0.3404568667686484,4.2562367960971604e-17,2.6818725395408046e-14,calpain 12 [Source:HGNC Symbol;Acc:HGNC:13249]
10361,chr18_54269588,45580,POLI,coad,0.33919060348974744,5.647705445237309e-17,3.4860173712490287e-14,DNA polymerase iota [Source:HGNC Symbol;Acc:HGNC:9182]
17988,chr2_27476497,53017,IFT172,coad,0.3387267935721294,6.26220611600922e-17,3.7740910797157234e-14,intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]
894,chr10_71694073,12058,CDH23,coad,0.33865432547682384,6.363982313291515e-17,3.7740910797157234e-14,cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]
25787,chr7_143387792,82114,ZYX,coad,0.33798976916642465,7.376495184428015e-17,4.290424939481256e-14,zyxin [Source:HGNC Symbol;Acc:HGNC:13200]
